ZIP File,Permissions,File System,Network,Rendering,User Interaction
bnogahdelnlcdimpmaeidmfnhmdcdami_1.0.2.zip,[],"{""localStorage.getItem"": 8, ""localStorage.setItem"": 5}","{""fetch"": 1}","{""setTimeout"": 11, ""document.createElement"": 5, ""setInterval"": 4, ""document.querySelector"": 1, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 5}"
gjldcdngmdknpinoemndlidpcabkggco_9.5.2.zip,"[""management"", ""storage"", ""tabs"", ""unlimitedStorage""]","{""localStorage.getItem"": 6, ""localStorage.setItem"": 5, ""document.cookie"": 2}","{""fetch"": 6, ""new XMLHttpRequest"": 1}","{""setTimeout"": 44, ""document.getElementById"": 30, ""document.createElement"": 12, ""chrome.tabs.create"": 12, ""document.querySelector"": 9, ""new MutationObserver"": 3}","{""addEventListener"": 14, ""window.alert"": 10}"
bfbnagnphiehemkdgmmficmjfddgfhpl_3.3.4.zip,"[""storage"", ""alarms"", ""tabs""]","{""sessionStorage.setItem"": 1}","{""fetch"": 6}","{""setTimeout"": 12, ""document.createElement"": 6, ""setInterval"": 6, ""document.querySelector"": 5, ""new MutationObserver"": 1}","{""addEventListener"": 24}"
eoflmmmmmlmgchodgijndimmbnlljppf_0.1.zip,"[""activeTab""]",{},{},"{""document.getElementById"": 4, ""chrome.tabs.executeScript"": 2, ""setTimeout"": 1, ""document.querySelector"": 1}","{""addEventListener"": 4}"
fjdcdccnejgmggcnnhokdpemfmkkjnpm_0.0.2.zip,"[""scripting"", ""storage"", ""tabs"", ""alarms"", ""activeTab"", ""proxy"", ""webRequest""]","{""indexedDB.open"": 1, ""localStorage.setItem"": 1}","{""fetch"": 6, ""chrome.proxy.settings.set"": 1}","{""setTimeout"": 10, ""setInterval"": 2, ""chrome.tabs.create"": 1, ""document.createElement"": 1}","{""addEventListener"": 8}"
ddimlfkoibkhomnilkookchcmdmnmodb_1.0.0.zip,"[""contextMenus"", ""activeTab"", ""clipboardWrite""]","{""navigator.clipboard.writeText"": 2}","{""fetch"": 3}","{""document.createElement"": 23, ""setTimeout"": 6, ""document.querySelector"": 4, ""setInterval"": 3, ""new MutationObserver"": 1}","{""addEventListener"": 7, ""chrome.contextMenus.create"": 1}"
cpgffaajnhllcpigdjoknmdedjkolkpa_1.0.3.zip,"[""tabs""]","{""new Blob"": 3, ""document.cookie"": 2}","{""fetch"": 10, ""new XMLHttpRequest"": 2}","{""setTimeout"": 13, ""document.createElement"": 7, ""document.getElementById"": 2, ""document.querySelector"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 13, ""window.confirm"": 1}"
cebmnlammjhancocbbnfcglifgdpfejc_1.9.16.zip,"[""tabs"", ""storage"", ""unlimitedStorage"", ""clipboardRead"", ""clipboardWrite"", ""contextMenus"", ""offscreen"", ""scripting""]","{""indexedDB.open"": 6, ""localStorage.getItem"": 3, ""localStorage.setItem"": 2, ""store.put"": 2, ""document.cookie"": 1}","{""fetch"": 81, ""navigator.sendBeacon"": 6, ""new XMLHttpRequest"": 3}","{""setTimeout"": 98, ""document.createElement"": 90, ""document.querySelector"": 13, ""setInterval"": 11, ""document.getElementById"": 11, ""new MutationObserver"": 3, ""window.open"": 2, ""document.designMode"": 1}","{""addEventListener"": 123}"
mnpladlnmhibjbclopbepdfodjffeomg_1.0.zip,"[""tabs"", ""activeTab""]",{},"{""fetch"": 2}","{""setTimeout"": 6, ""document.createElement"": 5, ""document.querySelector"": 1, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 5}"
hchahoobnhpbpiaebhjidfjijfkmnflo_5.0.4.zip,"[""storage"", ""clipboardWrite"", ""clipboardRead""]","{""localStorage.getItem"": 7, ""localStorage.setItem"": 3, ""document.cookie"": 2, ""navigator.clipboard.writeText"": 1}","{""fetch"": 127}","{""setTimeout"": 36, ""document.createElement"": 19, ""document.querySelector"": 6, ""document.getElementById"": 3, ""window.open"": 3, ""chrome.tabs.create"": 1}","{""addEventListener"": 24}"
mmjadgidlghhbigjiiapaaljmbacbaof_1.6.1.zip,"[""sidePanel"", ""tabs"", ""scripting""]","{""new Blob"": 2}","{""fetch"": 13}","{""element.style"": 16, ""setTimeout"": 9, ""document.createElement"": 7, ""document.querySelector"": 3, ""document.getElementById"": 1, ""new MutationObserver"": 1, ""setInterval"": 1, ""window.open"": 1}","{""addEventListener"": 12}"
