Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/nmjbgabhcephgidmphjmjilmfmohooea_0.0.0.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/bkcfajinecpjnckjdogahnhljhkcdada_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/haebcdjghingkcllppmokcikpjjagdii_0.2.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ljdbcnmlkkpkkfclkldgcggppiobeccm_1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/glgnapcblhbegihbgnlogfdghoaipile_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/nature/bfkgoijglmjjoeongkjolfgcdffcbjki_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/accllpimnoffllpeblphooameaofhnah_0.1.16.zip,"cookies, webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/pdmnhfjkmgjoefnogofehdnneklnonak_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/gfbpjgldmfdbbjffkejclfihhlmplcfj_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mfhmcnemllapebbjmgjidncbimcnhkie_1.0.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/jceplpdpflofccjjkokfjgflahapgekl_1.0.9.zip,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/dlbjchffggckhkkgfkkalhnadfmlbalj_0.1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/jmcfochmlllnpmmclffbdfgckgaaiobe_0.0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/paemokhdchkegpjepiablcjnpllfbdhe_1.0.8.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/dddcjbcpaooepjaeeikkmkfplbpcobmf_0.2.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/hjckmeeoamkjlfljoddpmblkbmbiaigf_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/hjimmklopenmealinniilgohbmglfooi_1.3.10.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/apflonjgaacaipfnichljodofigiobhb_0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/epndoneeciikmcedfghlglccfnfcfglh_1.1.1.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/injfdkhoambnmbignljneolhkohkikgl_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/bkecghohjcfpollkjjfodpahfbcgicde_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kjlobohamcahepbjhcnjhhpdgmhjkjli_1.0.6.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/nmemhfgjhnfmckacjippmiconfgoaamj_0.0.0.4.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lcmmbpcakinnpicnndhhmnapkkngbckd_1.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/iccobiiifcfnhefjkmcpblpbbiphhpgp_22.06.02.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/bcocdbombenodlegijagbhdjbifpiijp_28.1.3.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/afchopchpbfinbcchdmigbfcpfjfomkm_1.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/negiomjalofpcligekhbgaifppclaaog_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/ppidlhfhfjafihcnbahjonnoijhiembh_1.1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ikhfjcblifajenpjbjldmbcbdmjeolpo_2.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ilelhlenedoaffmpdbfoijlnfaeigfpb_1.0.3.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/mjallbknancbdmflofgcplnglpfimhnj_2.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/omkploefogjgloldmgphdkdbpfbabddd_0.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/fkghopacecghkmmhjhdhkcjlklbllmhc_1.2.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/art/oonkjpigapiknmlajapldaffkembfgap_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/igpmccnfdgkfbgdmnamhlphegclidlbk_1.0.2.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/ofgkapgknohidfogciopghkohoabgbam_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/jfhonbapgjbednmefcmbgnjabhhnibbk_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/gikieikejljogkfjbijjplfhbmhbmfkf_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fnfihpmmbeeibbnkegfmmcjkiogoebme_1.1.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kdchfpnbblcmofemnhnckhjfjndcibej_1.0.1.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/nature/keikhcnhjeklhkpdeaacmeomcafpoeed_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/dfdfjcfajgbmcecfohciilepidcilppl_2.20.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/other/nijmbcdpgckcddfkgohhagbpiopdmmcd_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kmbofkenjncfapkighkijhmeelkgnldo_1.2.5.zip,tabs
