Extension Path,Extension ID,Extension Name,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dbkckkjpjeoknaogfcemfchjijdpocfl_2.3.zip,dbkckkjpjeoknaogfcemfchjijdpocfl,Observe.AI Screen Recording,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/dafkkimnoemanmhikhkpbfaahfhjgdnb_1.1.1.zip,dafkkimnoemanmhikhkpbfaahfhjgdnb,ChatGPT Prompts tool -PromptPort,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ebpgbpnccddgdkiobopbfiijonjbmpnl_1.0.1.zip,ebpgbpnccddgdkiobopbfiijonjbmpnl,SpyBuster,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/cojjciklkiaagcmcihgkcohcfcpemfje_1.0.zip,cojjciklkiaagcmcihgkcohcfcpemfje,ÒýøÁ÷»_é»ÔÒÜÆ_øÖ,clipboardWrite
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/gpfafllpahmdkcafjbnbcoeiiahmnfej_0.5.zip,gpfafllpahmdkcafjbnbcoeiiahmnfej,Like Safari Page,"history, bookmarks"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/aigllmlnbjkmoionidfjkbljebahaiib_1.0.3.zip,aigllmlnbjkmoionidfjkbljebahaiib,AI-Powered Ad Intelligence Platform,"webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/elnpfaoipdfdhikjacbpcfhpnehjjaii_17.1.1.zip,elnpfaoipdfdhikjacbpcfhpnehjjaii,Sardalert,proxy
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mmfgbjodfoknnfknlpjofenajlnlkeee_1.0.zip,mmfgbjodfoknnfknlpjofenajlnlkeee,RecruitBot - Bulk Resume Downloader & AI Applicant Screener,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/cblhanehfpljakpeihpepdehkchpafig_1.1.4.zip,cblhanehfpljakpeihpepdehkchpafig,SyncReads - one place for your web,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/eckknmnfoohbeklmjlidmfdlakndcfkm_2.1.0.zip,eckknmnfoohbeklmjlidmfdlakndcfkm,FreshView for YouTube¢â,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hicchmdfaadkadnmmkdjmcilgaplfeoa_0.2.19.zip,hicchmdfaadkadnmmkdjmcilgaplfeoa,SellScale Browser Extension,"cookies, webRequest"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jfnjckhmnnncmfibgcehfjdklmgkfiio_0.0.1.0.zip,jfnjckhmnnncmfibgcehfjdklmgkfiio,Scrape by Luke,"tabs, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/privacy/nkgpolbebpommipioknficdaedjjpgmn_Beta 1.1.4.zip,nkgpolbebpommipioknficdaedjjpgmn,Hoody Privacy Manager,"proxy, webRequest, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/fpeifbebfjeoaiomiafdppodhpnfgbhc_0.1.zip,fpeifbebfjeoaiomiafdppodhpnfgbhc,multi history viewer,history
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/pdaociefbdibmlmebaflgmjilnljkcpn_1.5.zip,pdaociefbdibmlmebaflgmjilnljkcpn,Go to line,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/pkgnakbhlladihkaedolkimbjmnefkcg_1.6.0.zip,pkgnakbhlladihkaedolkimbjmnefkcg,JS JustDial Easy Web Instant Data Scraper and Extractor,"tabs, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ljgjcimndppiojghmlofccojajkhglpg_1.0.1.zip,ljgjcimndppiojghmlofccojajkhglpg,Xers,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/bfkihilfmmfmadafdjjdcfdfcpicpkkp_2.3.1.zip,bfkihilfmmfmadafdjjdcfdfcpicpkkp,GroupKit Cloud Beta,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/eapedfijdadehfmghgfdnanjlpfpognl_0.0.5.21.zip,eapedfijdadehfmghgfdnanjlpfpognl,Open tabs in order,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mhbadkjcgoaikhkjnickfgoeldpbhcdg_1.2.zip,mhbadkjcgoaikhkjnickfgoeldpbhcdg,Tab Search,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/joajiaajniflcecibehibjifcfeglbeo_2.0.0.zip,joajiaajniflcecibehibjifcfeglbeo,Tactical Arbitrage - Popular Products,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/ffbcdgcfkjmnjojcfepefdidjdkioggl_0.3.zip,ffbcdgcfkjmnjojcfepefdidjdkioggl,onbse,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/ocbmhhefncmjmcecjcpnihpglmfcpioc_3.3.5.zip,ocbmhhefncmjmcecjcpnihpglmfcpioc,Hi Whats Sender,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/lpgijibmbphcgmkpmnahidilcfklneje_0.9.zip,lpgijibmbphcgmkpmnahidilcfklneje,Skate,debugger
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mlldkokglanggjkokhdboagaekobhome_1.18.zip,mlldkokglanggjkokhdboagaekobhome,candidate.fyi,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ldimegdndcfidagpaoochlahokpklnna_0.0.0.5.zip,ldimegdndcfidagpaoochlahokpklnna,Open Links DB,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/ojiighldhdmahfdnhfdebnpmlbiemdfm_9.13.0.29.zip,ojiighldhdmahfdnhfdebnpmlbiemdfm,Access Assistant,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jkfkgfpnplkbmjdppcgijopbjegndfhc_1.2.3.zip,jkfkgfpnplkbmjdppcgijopbjegndfhc,Hinterview ¡© camera and screen recording,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/lbenbpjiigbogcmofbmoojbkojdmojfl_4.8.3.zip,lbenbpjiigbogcmofbmoojbkojdmojfl,YouGov Safe,"history, webRequest, tabs, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/education/mgakchnhkgppicccbfnoimecojceghaj_1.0.zip,mgakchnhkgppicccbfnoimecojceghaj,YouTube Ad Muter with Fun Facts,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/dcfhgekodfnlbfgiaoahkobmkjlpmdgn_1.0.3.zip,dcfhgekodfnlbfgiaoahkobmkjlpmdgn,Misbar,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/eelgjincfbelhajdbjenildfidchkgch_1.0.zip,eelgjincfbelhajdbjenildfidchkgch,Kinopoisk Extended,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/cljbakfkckcdgjfnpopgmhmnkaijaogd_3.0.4.zip,cljbakfkckcdgjfnpopgmhmnkaijaogd,ruut,"bookmarks, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/enhcidlgmnmolephljjhbgfnjlfjnimd_1.1.0.zip,enhcidlgmnmolephljjhbgfnjlfjnimd,security.txt,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lpgaihcipniakbpcmhcdkddodmpjlpnc_0.0.1.1.zip,lpgaihcipniakbpcmhcdkddodmpjlpnc,Web App Call Details,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ipmfmpkgnbbbaijjaebagomaiiamclfo_1.0.1.zip,ipmfmpkgnbbbaijjaebagomaiiamclfo,YooginX Web Ranger,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/cpbljgomgeogmikpcglnamlndljahkak_0.1.5.zip,cpbljgomgeogmikpcglnamlndljahkak,XJedi Plus,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/cmfdbhodbknpeambnnahbheoeajhbeel_1.1.9.zip,cmfdbhodbknpeambnnahbheoeajhbeel,Pandro | Instagram bot & DM outreach,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/nmeegpdlcdjpkjghamefpcciaejhglop_1.0.0.zip,nmeegpdlcdjpkjghamefpcciaejhglop,Session Bookmark,"clipboardWrite, clipboardRead, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/obbhcemdieglpilieepgcbhpocmbkphm_1.1.2.zip,obbhcemdieglpilieepgcbhpocmbkphm,TopBookmarkToolbar,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/baleiojnjpgeojohhhfbichcodgljmnj_2.25.0.19320.zip,baleiojnjpgeojohhhfbichcodgljmnj,LanSchool Air Chrome Extension,"webRequest, tabs, nativeMessaging, management"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/cfooaggakokcjkebmpeocmcblejiojoi_4.16.3.zip,cfooaggakokcjkebmpeocmcblejiojoi,AutoIGDM,"cookies, tabs, debugger"
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/egmilngkgddnnmkpkonkpkjkipiihmkh_0.1.7.zip,egmilngkgddnnmkpkonkpkjkipiihmkh,Music Storm - visualize any music tab,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hhdoodgdlgbcpmadfldaghcflgnkndca_0.9.4.zip,hhdoodgdlgbcpmadfldaghcflgnkndca,Anotes,"clipboardWrite, tabs"
