File,API Counts,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/other/lfpbcilbbbmefhjfjajkklgcemmpogei_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/afphkfbbpbjplnnjbleekcgbciahehbl_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/didaledkbeddmebfphgpebbckhhbilcn_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/jmgmjgjdcpnellhmhfejjidecaonhlna_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/dbobgefljgfjegmoiamhaomlehcgeada_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/nieelfmidagebahnbdkabkpjggjlojpi_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/imngodgjnmhipogeboncpalggellpnlp_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/imbbbiekcmhcgabeieehjcgackdkkfge_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/nbglagpmenllolalkkpfcglcnheihiom_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/nmepofgghplgodgolkhjeljlmjopfgkg_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/camlfekfpkjaamepbfbnlikfpkcpcfok_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/bdmmggkkfajnfkkmkiapigdchonlngfg_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/bcgaakcgaagoodgckckiknobkcnmlbdb_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/nnikaghhhgapcdpjnipjikcionmdhaha_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/gfljfbdniggmlnimojlfelnffaopdjcj_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/ooaijcmnbnabgmfpihbpfmjelehmibij_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/jlfaipnkmbnmioeljgiceofibkikkppp_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/gjghmhjbnciabihcjgelfijbfdojpbco_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/moejjajiiimcnaoegdhcidnkcfafcocm_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/fhaeliajaaeaknkphnlfjdaakodbkinb_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/gdfnpffkoegiiaajlmebehelcdmccjjb_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/mfppbjlikcmknbnmipfmdapkhmpholcf_1.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/nhkdbgphmmpclpkbojpllejakkpiiffj_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/kiollfijkijlpenchhngmhbgggpcoama_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/fgmgladpjamjocffmliohmjjbdjigemj_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/ofnlggglehkcmjbfdggoeagffaaklnkk_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/cjndknndbpppllpamiehigihgdmanmld_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/kgllcgiaggbnakfkgggebcdekfcbjkaa_1.0.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/chjmcdjebmbbgoljjncjkabpjmdbplee_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/ndbmpjokgpmjjjjmjcoigpaelkchdbce_1.0.zip,{},[]
/home/minhyuk/Desktop/Download_extension/Extensions/other/eannngakhdhjddlnlbddgilnbfnmooph_1.0.zip,{},[]
