ZIP File,Permissions,File System,Network,Rendering,User Interaction
gnfmpcnpkkipkgelpgfebliobnonbnnm_2.90.zip,"[""scripting"", ""storage"", ""activeTab""]","{""localStorage.setItem"": 9, ""localStorage.getItem"": 7, ""file.name"": 4}","{""fetch"": 26, ""new XMLHttpRequest"": 3}","{""document.createElement"": 162, ""document.querySelector"": 94, ""setTimeout"": 87, ""document.getElementById"": 32, ""element.style"": 26, ""element.innerHTML"": 14, ""setInterval"": 13, ""window.open"": 11, ""new MutationObserver"": 9}","{""addEventListener"": 145, ""window.onbeforeunload"": 1}"
aekbjeemmbjiieebmopjlaojnnphineg_1.92.zip,"[""scripting"", ""storage"", ""activeTab""]","{""localStorage.setItem"": 9, ""localStorage.getItem"": 7, ""file.name"": 4}","{""fetch"": 22, ""new XMLHttpRequest"": 3}","{""document.createElement"": 171, ""document.querySelector"": 103, ""setTimeout"": 89, ""document.getElementById"": 32, ""element.style"": 26, ""element.innerHTML"": 14, ""setInterval"": 13, ""window.open"": 11, ""new MutationObserver"": 10}","{""addEventListener"": 150, ""window.onbeforeunload"": 1}"
pikffbkoeikiofghkbjjnglgdeilppje_1.02.zip,"[""storage"", ""notifications"", ""http://*/"", ""https://*/""]","{""new Blob"": 1, ""indexedDB.open"": 1}",{},"{""document.getElementById"": 23, ""setTimeout"": 22, ""document.createElement"": 3, ""chrome.tabs.create"": 2, ""document.querySelector"": 2, ""window.open"": 1, ""chrome.notifications.create"": 1, ""new MutationObserver"": 1, ""setInterval"": 1}","{""addEventListener"": 30}"
noebmappkcnholpgdmifniedcnhmdnpl_1.2.3.zip,"[""storage"", ""tabCapture"", ""offscreen"", ""activeTab""]","{""new Blob"": 3}","{""fetch"": 1}","{""document.getElementById"": 40, ""document.querySelector"": 12, ""document.createElement"": 8, ""element.style"": 4, ""setTimeout"": 3, ""setInterval"": 3, ""window.open"": 1}","{""addEventListener"": 25}"
fhiokcpbankkipdofokcplibbheifbpn_1.0.0.zip,"[""storage"", ""alarms"", ""https://ap.wegdigital.de/"", ""<all_urls>""]",{},"{""fetch"": 5, ""new WebSocket"": 1}","{""setTimeout"": 90, ""document.createElement"": 28, ""new MutationObserver"": 10, ""document.querySelector"": 8, ""document.getElementById"": 5, ""setInterval"": 5, ""window.open"": 1}","{""addEventListener"": 118, ""chrome.alarms.create"": 1}"
pipmdfainbdheoepmdemfcjlgagnjjgb_1.1.zip,"[""storage""]","{""document.cookie"": 1}","{""fetch"": 5}","{""document.createElement"": 3, ""document.getElementById"": 3, ""chrome.tabs.create"": 1, ""chrome.notifications.create"": 1, ""setTimeout"": 1}","{""addEventListener"": 5}"
kejcoekeanjhgjhojleipfaehpophpgi_1.0.zip,[],{},{},"{""document.querySelector"": 10, ""chrome.tabs.create"": 1, ""setTimeout"": 1}","{""addEventListener"": 1}"
ppicacggfnebpcpkojadncohacipejni_1.0.zip,"[""sidePanel"", ""cookies""]",{},{},"{""document.getElementById"": 2}","{""addEventListener"": 1}"
lohojfppjeknalpoklojhfnndocgekbd_0.8.61.zip,"[""tabs"", ""identity"", ""identity.email"", ""background"", ""storage"", ""offscreen""]","{""document.cookie"": 26, ""indexedDB.open"": 23, ""localStorage.setItem"": 23, ""localStorage.getItem"": 21, ""new Blob"": 4, ""navigator.clipboard.writeText"": 4, ""sessionStorage.setItem"": 1, ""sessionStorage.getItem"": 1}","{""fetch"": 663, ""navigator.sendBeacon"": 12, ""new XMLHttpRequest"": 10, ""chrome.identity.getAuthToken"": 3}","{""setTimeout"": 520, ""document.createElement"": 244, ""document.querySelector"": 107, ""setInterval"": 57, ""new MutationObserver"": 34, ""document.getElementById"": 23, ""window.open"": 16, ""element.innerHTML"": 4, ""chrome.tabs.create"": 3}","{""addEventListener"": 691, ""window.prompt"": 5}"
bigpcdoicjgamhhkmiehnlbmfbjgmhjm_1.0.9.zip,"[""storage"", ""tabs"", ""webNavigation"", ""activeTab"", ""scripting"", ""windows"", ""contextMenus""]","{""indexedDB.open"": 3, ""store.put"": 2}","{""fetch"": 10}","{""document.getElementById"": 68, ""document.createElement"": 35, ""document.querySelector"": 11, ""setTimeout"": 4, ""chrome.tabs.create"": 3, ""setInterval"": 3}","{""addEventListener"": 20, ""chrome.contextMenus.create"": 1}"
